time,vs,dvs,hs,dist,alt,ang,weight,acc,fuel
1,25.53276235,24,932,-932,13722.46724,58.3,285.8446,1.542796331,120.8446
2,25.45482897,24,930.6873717,-1862.687372,13697.01241,58.3,285.6262169,2.169744225,120.6262169
3,25.04870465,24,928.8413293,-2791.528701,13671.9637,58.3,285.4078338,2.17140443,120.4078338
4,24.64346927,24,926.9938742,-3718.522575,13647.32023,58.3,285.1894507,2.173067177,120.1894507
5,24.23912286,24,925.1450045,-4643.66758,13623.08111,58.3,284.9710676,2.174732473,119.9710676
6,23.83566542,24,923.294718,-5566.962298,13599.24545,58.3,284.7526845,2.176400323,119.7526845
7,23.43309697,24,921.4430124,-6488.40531,13575.81235,58.3,284.5342027,2.17905558,119.5342027
8,23.03089999,24,919.5890477,-7407.994358,13552.78145,58.3,284.32265,2.111517435,119.32265
9,22.6659613,24,917.7925452,-8325.786903,13530.11549,58.3,284.1253363,1.970765312,119.1253363
10,22.37669794,24,916.1157962,-9241.902699,13507.73879,58.3,283.9447511,1.804828344,118.9447511
11,22.17622956,24,914.5802282,-10156.48293,13485.56256,58.3,283.7775762,1.671785203,118.7775762
12,22.04713669,24,913.1578548,-11069.64078,13463.51542,58.3,283.6173132,1.60357095,118.6173132
13,21.95524559,24,911.7935188,-11981.4343,13441.56018,58.3,283.4581398,1.593562743,118.4581398
14,21.86991526,24,910.4376979,-12891.872,13419.69026,58.3,283.2975195,1.608960229,118.2975195
15,21.7777876,24,909.0687767,-13800.94078,13397.91248,58.3,283.1364006,1.614872885,118.1364006
16,21.68385912,24,907.6948249,-14708.6356,13376.22862,58.3,282.97748,1.593734084,117.97748
17,21.60234938,24,906.3388582,-15614.97446,13354.62627,58.3,282.8229723,1.550326059,117.8229723
18,21.54494309,24,905.0198236,-16519.99428,13333.08132,58.3,282.6732471,1.50313375,117.6732471
19,21.51359353,24,903.7409407,-17423.73522,13311.56773,58.3,282.5268767,1.470215753,117.5268767
20,21.50076165,24,902.4900648,-18326.22529,13290.06697,58.3,282.3817127,1.458847748,117.3817127
21,21.49509682,24,901.2488609,-19227.47415,13268.57187,58.3,282.2361295,1.463815412,117.2361295
22,21.48800588,24,900.0034305,-20127.47758,13247.08387,58.3,282.0896902,1.473187347,117.0896902
23,21.47717854,24,898.7500264,-21026.22761,13225.60669,58.3,281.9429993,1.476486262,116.9429993
24,21.4658136,24,897.4938154,-21923.72142,13204.14087,58.3,281.7970211,1.470073556,116.7970211
25,21.45901693,24,896.2430605,-22819.96448,13182.68186,58.3,281.6523763,1.457394468,116.6523763
26,21.46007614,24,895.0030931,-23714.96757,13161.22178,58.3,281.5090153,1.445193807,116.5090153
27,21.46872952,24,893.7735062,-24608.74108,13139.75305,58.3,281.36636,1.43881031,116.36636
28,21.48191041,24,892.5493504,-25501.29043,13118.27114,58.3,281.2237162,1.439423216,116.2237162
29,21.49593723,24,891.3246731,-26392.6151,13096.7752,58.3,281.0806591,1.444328485,116.0806591
30,21.50855496,24,890.0958224,-27282.71093,13075.26665,58.3,280.9371776,1.449352812,115.9371776
31,21.51970501,24,888.8626969,-28171.57362,13053.74694,58.3,280.7935548,1.451523097,115.7935548
32,21.53089119,24,887.6277249,-29059.20135,13032.21605,58.3,280.6501145,1.450419505,115.6501145
33,21.54383558,24,886.3936919,-29945.59504,13010.67222,58.3,280.5070099,1.447763097,115.5070099
34,21.55935325,24,885.161919,-30830.75696,12989.11286,58.3,280.3641626,1.445895336,115.3641626
35,21.57702763,24,883.9317352,-31714.68869,12967.53584,58.3,280.2213506,1.446276061,115.2213506
36,21.5956757,24,882.7012274,-32597.38992,12945.94016,58.3,280.0783578,1.448846085,115.0783578
37,21.61414733,24,881.4685331,-33478.85846,12924.32601,58.3,279.9350867,1.452408141,114.9350867
38,21.63192335,24,880.2328081,-34359.09126,12902.69409,58.3,279.7915778,1.455565844,114.7915778
39,21.6492191,24,878.9943965,-35238.08566,12881.04487,58.3,279.6479467,1.457553697,114.6479467
40,21.66665189,24,877.7542936,-36115.83995,12859.37822,58.3,279.5042949,1.458512111,114.5042949
41,21.68476426,24,876.5133753,-36992.35333,12837.69345,58.3,279.3606509,1.459182873,114.3606509
42,21.70370815,24,875.2718863,-37867.62522,12815.98975,58.3,279.2169674,1.460335863,114.2169674
43,21.7232307,24,874.0294164,-38741.65463,12794.26652,58.3,279.073163,1.462317046,114.073163
44,21.74289766,24,872.7852608,-39614.43989,12772.52362,58.3,278.9291745,1.464946385,113.9291745
45,21.76237004,24,871.5388681,-40485.97876,12750.76125,58.3,278.7849858,1.467740964,113.7849858
46,21.78156316,24,870.2900978,-41356.26886,12728.97968,58.3,278.6406245,1.470259055,113.6406245
47,21.80062457,24,869.0391851,-42225.30804,12707.17906,58.3,278.4961338,1.472340042,113.4961338
48,21.81978599,24,867.7865018,-43093.09455,12685.35927,58.3,278.3515429,1.474127535,113.3515429
49,21.83920335,24,866.5322977,-43959.62684,12663.52007,58.3,278.206852,1.475913346,113.206852
50,21.85887897,24,865.2765742,-44824.90342,12641.66119,58.3,278.0620385,1.477933554,113.0620385
51,21.87869113,24,864.0191319,-45688.92255,12619.7825,58.3,277.9170742,1.480244607,112.9170742
52,21.89848865,24,862.7597234,-46551.68227,12597.88401,58.3,277.7719421,1.482731685,112.7719421
53,21.91818091,24,861.4981988,-47413.18047,12575.96583,58.3,277.6266432,1.485213605,112.6266432
54,21.93777263,24,860.2345626,-48273.41503,12554.02806,58.3,277.4811908,1.487561547,112.4811908
55,21.95733623,24,858.9689287,-49132.38396,12532.07072,58.3,277.3355998,1.489760188,112.3355998
56,21.97695207,24,857.7014242,-49990.08539,12510.09377,58.3,277.1898774,1.491889481,112.1898774
57,21.99665838,24,856.432108,-50846.51749,12488.09711,58.3,277.0440201,1.494055931,112.0440201
58,22.01643735,24,855.1609486,-51701.67844,12466.08067,58.3,276.8980183,1.496324589,111.8980183
59,22.03623705,24,853.887859,-52555.5663,12444.04444,58.3,276.7518629,1.498690734,111.7518629
60,22.05600808,24,852.6127563,-53408.17906,12421.98843,58.3,276.60555,1.501098397,111.60555
61,22.07573055,24,851.3356051,-54259.51466,12399.9127,58.3,276.4590822,1.503484239,111.4590822
62,22.09541788,24,850.056424,-55109.57109,12377.81728,58.3,276.3124651,1.505815638,111.3124651
63,22.11510062,24,848.7752594,-55958.34635,12355.70218,58.3,276.1657033,1.508102311,111.1657033
64,22.13480415,24,847.4921492,-56805.8385,12333.56738,58.3,276.018798,1.510380819,111.018798
65,22.15453463,24,846.2071004,-57652.0456,12311.41284,58.3,275.8717467,1.51268711,110.8717467
66,22.17427931,24,844.9200894,-58496.96569,12289.23856,58.3,275.7245458,1.515035711,110.7245458
67,22.19401783,24,843.6310802,-59340.59677,12267.04454,58.3,275.5771923,1.517416098,110.5771923
68,22.21373539,24,842.3400457,-60182.93681,12244.83081,58.3,275.4296859,1.519804439,110.4296859
69,22.23342974,24,841.0469792,-61023.98379,12222.59738,58.3,275.2820281,1.522180402,110.2820281
70,22.25310932,24,839.7518912,-61863.73568,12200.34427,58.3,275.134221,1.52453813,110.134221
71,22.27278565,24,838.4547972,-62702.19048,12178.07148,58.3,274.9862658,1.526886328,109.9862658
72,22.29246566,24,837.1557054,-63539.34619,12155.77902,58.3,274.8381624,1.529239865,109.8381624
